dataset_id,table_id
cpool,smooth_mau20190210
cpool,smooth_mau20190211
cpool,smooth_mau20190212
cpool,smooth_mau20190213
cpool,smooth_mau20190214
cpool,smooth_mau20190215
cpool,smooth_mau20190216
cpool,smooth_mau20190217
cpool,smooth_mau20190218
cpool,smooth_mau20190219
cpool,smooth_mau20190220
cpool,smooth_mau20190221
cpool,smooth_mau20190222
cpool,smooth_mau20190223
cpool,smooth_mau20190224
cpool,smooth_mau20190225
cpool,smooth_mau20190226
cpool,smooth_mau20190227
cpool,smooth_mau20190228
cpool,smooth_mau20190301
cpool,smooth_mau20190302
cpool,smooth_mau20190303
cpool,smooth_mau20190304
cpool,smooth_mau20190305
cpool,smooth_mau20190306
cpool,smooth_mau20190307
cpool,smooth_mau20190308
cpool,smooth_mau20190309
cpool,smooth_mau20190310
cpool,smooth_mau20190311
cpool,smooth_mau20190312
cpool,smooth_mau20190313
cpool,smooth_mau20190314
cpool,smooth_mau20190315
cpool,smooth_mau20190316
cpool,smooth_mau20190317
cpool,smooth_mau20190318
cpool,smooth_mau20190319
cpool,smooth_mau20190320
cpool,smooth_mau20190321
cpool,smooth_mau20190322
cpool,smooth_mau20190323
cpool,smooth_mau20190324
cpool,smooth_mau20190325
cpool,smooth_mau20190326
cpool,smooth_mau20190327
cpool,smooth_mau20190328
cpool,smooth_mau20190329
cpool,smooth_mau20190330
cpool,smooth_mau20190331
cpool,smooth_mau20190401
cpool,smooth_mau20190402
cpool,smooth_mau20190403
cpool,smooth_mau20190404
cpool,smooth_mau20190405
cpool,smooth_mau20190406
cpool,smooth_mau20190407
cpool,smooth_mau20190408
cpool,smooth_mau20190409
cpool,smooth_mau20190410
cpool,smooth_mau20190411
cpool,smooth_mau20190412
cpool,smooth_mau20190413
cpool,smooth_mau20190414
cpool,smooth_mau20190415
cpool,smooth_mau20190416
cpool,smooth_mau20190417
cpool,smooth_mau20190418
cpool,smooth_mau20190419
cpool,smooth_mau20190420
cpool,smooth_mau20190421
cpool,smooth_mau20190422
cpool,smooth_mau20190423
cpool,smooth_mau20190424
cpool,smooth_mau20190425
cpool,smooth_mau20190426
cpool,smooth_mau20190427
cpool,smooth_mau20190428
cpool,smooth_mau20190429
cpool,smooth_mau20190430
cpool,smooth_mau20190501
cpool,smooth_mau20190502
cpool,smooth_mau20190503
cpool,smooth_mau20190504
cpool,smooth_mau20190505
cpool,smooth_mau20190506
cpool,smooth_mau20190507
cpool,smooth_mau20190508
cpool,smooth_mau20190509
cpool,smooth_mau20190510
cpool,smooth_mau20190511
cpool,smooth_mau20190512
cpool,smooth_mau20190513
cpool,smooth_mau20190514
cpool,smooth_mau20190515
cpool,smooth_mau20190516
cpool,smooth_mau20190517
cpool,smooth_mau20190518
cpool,smooth_mau20190519
cpool,smooth_mau20190520
cpool,smooth_mau20190521
cpool,smooth_mau20190522
cpool,smooth_mau20190523
cpool,smooth_mau20190524
cpool,smooth_mau20190525
cpool,smooth_mau20190526
cpool,smooth_mau20190527
cpool,smooth_mau20190528
cpool,smooth_mau20190529
cpool,smooth_mau20190530
cpool,smooth_mau20190531
cpool,smooth_mau20190601
cpool,smooth_mau20190602
cpool,smooth_mau20190603
cpool,smooth_mau20190604
cpool,smooth_mau20190605
cpool,smooth_mau20190606
cpool,smooth_mau20190607
cpool,smooth_mau20190608
cpool,smooth_mau20190609
cpool,smooth_mau20190610
cpool,smooth_mau20190611
cpool,smooth_mau20190612
cpool,smooth_mau20190613
cpool,smooth_mau20190614
cpool,smooth_mau20190615
cpool,smooth_mau20190616
cpool,smooth_mau20190617
cpool,smooth_mau20190618
cpool,smooth_mau20190619
cpool,smooth_mau20190620
cpool,smooth_mau20190621
cpool,smooth_mau20190622
cpool,smooth_mau20190623
cpool,smooth_mau20190624
cpool,smooth_mau20190625
cpool,smooth_mau20190626
cpool,smooth_mau20190627
cpool,smooth_mau20190628
cpool,smooth_mau20190629
cpool,smooth_mau20190630
cpool,smooth_mau20190701
cpool,smooth_mau20190702
cpool,smooth_mau20190703
cpool,smooth_mau20190704
cpool,smooth_mau20190705
cpool,smooth_mau20190706
cpool,smooth_mau20190707
cpool,smooth_mau20190708
cpool,smooth_mau20190709
cpool,smooth_mau20190710
cpool,smooth_mau20190711
cpool,smooth_mau20190712
cpool,smooth_mau20190713
cpool,smooth_mau20190714
cpool,smooth_mau20190715
cpool,smooth_mau20190716
cpool,smooth_mau20190717
cpool,smooth_mau20190718
cpool,smooth_mau20190719
cpool,smooth_mau20190720
cpool,smooth_mau20190721
cpool,smooth_mau20190722
cpool,smooth_mau20190723
cpool,smooth_mau20190724
