dataset_id,table_id
cpool_gp,retention20200603
cpool_gp,retention20200604
cpool_gp,retention20200605
cpool_gp,retention20200606
cpool_gp,retention20200607
cpool_gp,retention20200608
cpool_gp,retention20200609
cpool_gp,retention20200610
cpool_gp,retention20200611
cpool_gp,retention20200612
cpool_gp,retention20200613
cpool_gp,retention20200614
cpool_gp,retention20200615
cpool_gp,retention20200616
cpool_gp,retention20200617
cpool_gp,retention20200618
cpool_gp,retention20200619
cpool_gp,retention20200620
cpool_gp,retention20200621
cpool_gp,retention20200622
cpool_gp,retention20200623
cpool_gp,retention20200624
cpool_gp,retention20200625
cpool_gp,retention20200626
cpool_gp,retention20200627
cpool_gp,retention20200628
cpool_gp,retention20200629
cpool_gp,retention20200630
cpool_gp,retention20200701
cpool_gp,retention20200702
cpool_gp,retention20200703
cpool_gp,retention20200704
cpool_gp,retention20200705
cpool_gp,retention20200706
cpool_gp,retention20200707
cpool_gp,retention20200708
cpool_gp,retention20200709
cpool_gp,retention20200710
cpool_gp,retention20200711
cpool_gp,retention20200712
cpool_gp,retention20200713
cpool_gp,retention20200714
cpool_gp,retention20200715
cpool_gp,retention20200716
cpool_gp,retention20200717
cpool_gp,retention20200718
cpool_gp,retention20200719
cpool_gp,retention20200720
cpool_gp,retention20200721
cpool_gp,retention20200722
cpool_gp,retention20200723
cpool_gp,retention20200724
cpool_gp,retention20200725
cpool_gp,retention20200726
cpool_gp,retention20200727
cpool_gp,retention20200728
cpool_gp,retention20200729
cpool_gp,retention20200730
cpool_gp,retention20200731
cpool_gp,retention20200801
cpool_gp,retention20200802
cpool_gp,retention20200803
cpool_gp,retention20200804
cpool_gp,retention20200805
cpool_gp,retention20200806
cpool_gp,retention20200807
cpool_gp,retention20200808
cpool_gp,retention20200809
cpool_gp,retention20200810
cpool_gp,retention20200811
cpool_gp,retention20200812
cpool_gp,retention20200813
cpool_gp,retention20200814
cpool_gp,retention20200815
cpool_gp,retention20200816
cpool_gp,retention20200817
cpool_gp,retention20200818
cpool_gp,retention20200819
cpool_gp,retention20200820
cpool_gp,retention20200821
cpool_gp,retention20200822
cpool_gp,retention20200823
cpool_gp,retention20200824
cpool_gp,retention20200825
cpool_gp,retention20200826
cpool_gp,retention20200827
cpool_gp,retention20200828
cpool_gp,retention20200829
cpool_gp,retention20200830
cpool_gp,retention20200831
cpool_gp,retention20200901
cpool_gp,retention20200902
cpool_gp,retention20200903
cpool_gp,retention20200904
cpool_gp,retention20200905
cpool_gp,retention20200906
cpool_gp,retention20200907
cpool_gp,retention20200908
cpool_gp,retention20200909
cpool_gp,retention20200910
cpool_gp,retention20200911
cpool_gp,retention20200912
cpool_gp,retention20200913
cpool_gp,retention20200914
cpool_gp,retention20200915
cpool_gp,retention20200916
cpool_gp,retention20200917
cpool_gp,retention20200918
cpool_gp,retention20200919
cpool_gp,retention20200920
cpool_gp,retention20200921
cpool_gp,retention20200922
cpool_gp,retention20200923
cpool_gp,retention20200924
cpool_gp,retention20200925
cpool_gp,retention20200926
cpool_gp,retention20200927
cpool_gp,retention20200928
cpool_gp,retention20200929
cpool_gp,retention20200930
cpool_gp,retention20201001
cpool_gp,retention20201002
cpool_gp,retention20201003
cpool_gp,retention20201004
cpool_gp,retention20201005
cpool_gp,retention20201006
cpool_gp,retention20201007
cpool_gp,retention20201008
cpool_gp,retention20201009
cpool_gp,retention20201010
cpool_gp,retention20201011
cpool_gp,retention20201012
cpool_gp,retention20201013
cpool_gp,retention20201014
cpool_gp,retention20201015
cpool_gp,retention20201016
