dataset_id,table_id
estimates,cumulative_downloads
estimates,dailies_by_qtr20140930
estimates,dailies_by_qtr20141231
estimates,dailies_by_qtr20150331
estimates,dailies_by_qtr20150630
estimates,dailies_by_qtr20150930
estimates,dailies_by_qtr20151231
estimates,dailies_by_qtr20160331
estimates,dailies_by_qtr20160630
estimates,dailies_by_qtr20160930
estimates,dailies_by_qtr20161231
estimates,dailies_by_qtr20170331
estimates,dailies_by_qtr20170630
estimates,dailies_by_qtr20170930
estimates,dailies_by_qtr20171231
estimates,dailies_by_qtr20180331
estimates,dailies_by_qtr20180630
estimates,dailies_by_qtr20180930
estimates,dailies_by_qtr20181231
estimates,dailies_by_qtr20190331
estimates,dailies_by_qtr20190630
estimates,dailies_by_qtr20190930
estimates,dailies_by_qtr20191231
estimates,dailies_by_qtr20200331
estimates,dailies_by_qtr20200630
estimates,dailies_by_qtr20200930
estimates,dailies_by_qtr20201231
estimates,dailies_by_qtr20210331
estimates,dailies_by_qtr20210630
estimates,dailies_by_qtr20210930
estimates,dailies_by_qtr20211231
estimates,dailies_by_qtr20220331
estimates,dailies_by_qtr20220630
estimates,dailies_by_qtr20220930
estimates,dailies_by_qtr20221231
estimates,daily20140901
estimates,daily20140902
estimates,daily20140903
estimates,daily20140904
estimates,daily20140905
estimates,daily20140906
estimates,daily20140907
estimates,daily20140908
estimates,daily20140909
estimates,daily20140910
estimates,daily20140911
estimates,daily20140912
estimates,daily20140913
estimates,daily20140914
estimates,daily20140915
estimates,daily20140916
estimates,daily20140917
estimates,daily20140918
estimates,daily20140919
estimates,daily20140920
estimates,daily20140921
estimates,daily20140922
estimates,daily20140923
estimates,daily20140924
estimates,daily20140925
estimates,daily20140926
estimates,daily20140927
estimates,daily20140928
estimates,daily20140929
estimates,daily20140930
estimates,daily20141001
estimates,daily20141002
estimates,daily20141003
estimates,daily20141004
estimates,daily20141005
estimates,daily20141006
estimates,daily20141007
estimates,daily20141008
estimates,daily20141009
estimates,daily20141010
estimates,daily20141011
estimates,daily20141012
estimates,daily20141013
estimates,daily20141014
estimates,daily20141015
estimates,daily20141016
estimates,daily20141017
estimates,daily20141018
estimates,daily20141019
estimates,daily20141020
estimates,daily20141021
estimates,daily20141022
estimates,daily20141023
estimates,daily20141024
estimates,daily20141025
estimates,daily20141026
estimates,daily20141027
estimates,daily20141028
estimates,daily20141029
estimates,daily20141030
estimates,daily20141031
estimates,daily20141101
estimates,daily20141102
estimates,daily20141103
estimates,daily20141104
estimates,daily20141105
estimates,daily20141106
estimates,daily20141107
estimates,daily20141108
estimates,daily20141109
estimates,daily20141110
estimates,daily20141111
estimates,daily20141112
estimates,daily20141113
estimates,daily20141114
estimates,daily20141115
estimates,daily20141116
estimates,daily20141117
estimates,daily20141118
estimates,daily20141119
estimates,daily20141120
estimates,daily20141121
estimates,daily20141122
estimates,daily20141123
estimates,daily20141124
estimates,daily20141125
estimates,daily20141126
estimates,daily20141127
estimates,daily20141128
estimates,daily20141129
estimates,daily20141130
estimates,daily20141201
estimates,daily20141202
estimates,daily20141203
estimates,daily20141204
estimates,daily20141205
estimates,daily20141206
estimates,daily20141207
estimates,daily20141208
estimates,daily20141209
estimates,daily20141210
estimates,daily20141211
estimates,daily20141212
estimates,daily20141213
estimates,daily20141214
estimates,daily20141215
estimates,daily20141216
estimates,daily20141217
estimates,daily20141218
estimates,daily20141219
estimates,daily20141220
estimates,daily20141221
estimates,daily20141222
estimates,daily20141223
estimates,daily20141224
estimates,daily20141225
estimates,daily20141226
estimates,daily20141227
estimates,daily20141228
estimates,daily20141229
estimates,daily20141230
estimates,daily20141231
estimates,daily20150101
estimates,daily20150102
estimates,daily20150103
estimates,daily20150104
estimates,daily20150105
estimates,daily20150106
estimates,daily20150107
estimates,daily20150108
estimates,daily20150109
estimates,daily20150110
estimates,daily20150111
estimates,daily20150112
estimates,daily20150113
estimates,daily20150114
estimates,daily20150115
estimates,daily20150116
estimates,daily20150117
estimates,daily20150118
estimates,daily20150119
estimates,daily20150120
estimates,daily20150121
estimates,daily20150122
estimates,daily20150123
estimates,daily20150124
estimates,daily20150125
estimates,daily20150126
estimates,daily20150127
estimates,daily20150128
estimates,daily20150129
estimates,daily20150130
estimates,daily20150131
estimates,daily20150201
estimates,daily20150202
estimates,daily20150203
estimates,daily20150204
estimates,daily20150205
estimates,daily20150206
estimates,daily20150207
estimates,daily20150208
estimates,daily20150209
estimates,daily20150210
estimates,daily20150211
estimates,daily20150212
estimates,daily20150213
estimates,daily20150214
estimates,daily20150215
estimates,daily20150216
estimates,daily20150217
estimates,daily20150218
estimates,daily20150219
estimates,daily20150220
estimates,daily20150221
estimates,daily20150222
estimates,daily20150223
estimates,daily20150224
estimates,daily20150225
estimates,daily20150226
estimates,daily20150227
estimates,daily20150228
estimates,daily20150301
estimates,daily20150302
estimates,daily20150303
estimates,daily20150304
estimates,daily20150305
estimates,daily20150306
estimates,daily20150307
estimates,daily20150308
estimates,daily20150309
estimates,daily20150310
estimates,daily20150311
estimates,daily20150312
estimates,daily20150313
estimates,daily20150314
estimates,daily20150315
estimates,daily20150316
estimates,daily20150317
estimates,daily20150318
estimates,daily20150319
estimates,daily20150320
estimates,daily20150321
estimates,daily20150322
estimates,daily20150323
estimates,daily20150324
estimates,daily20150325
estimates,daily20150326
estimates,daily20150327
estimates,daily20150328
estimates,daily20150329
estimates,daily20150330
estimates,daily20150331
estimates,daily20150401
estimates,daily20150402
estimates,daily20150403
estimates,daily20150404
estimates,daily20150405
estimates,daily20150406
estimates,daily20150407
estimates,daily20150408
estimates,daily20150409
estimates,daily20150410
estimates,daily20150411
estimates,daily20150412
estimates,daily20150413
estimates,daily20150414
estimates,daily20150415
estimates,daily20150416
estimates,daily20150417
estimates,daily20150418
estimates,daily20150419
estimates,daily20150420
estimates,daily20150421
estimates,daily20150422
estimates,daily20150423
estimates,daily20150424
estimates,daily20150425
estimates,daily20150426
estimates,daily20150427
estimates,daily20150428
estimates,daily20150429
estimates,daily20150430
estimates,daily20150501
estimates,daily20150502
estimates,daily20150503
estimates,daily20150504
estimates,daily20150505
estimates,daily20150506
estimates,daily20150507
estimates,daily20150508
estimates,daily20150509
estimates,daily20150510
estimates,daily20150511
estimates,daily20150512
estimates,daily20150513
estimates,daily20150514
estimates,daily20150515
estimates,daily20150516
estimates,daily20150517
estimates,daily20150518
estimates,daily20150519
estimates,daily20150520
estimates,daily20150521
estimates,daily20150522
estimates,daily20150523
estimates,daily20150524
estimates,daily20150525
estimates,daily20150526
estimates,daily20150527
estimates,daily20150528
estimates,daily20150529
estimates,daily20150530
estimates,daily20150531
estimates,daily20150601
estimates,daily20150602
estimates,daily20150603
estimates,daily20150604
estimates,daily20150605
estimates,daily20150606
estimates,daily20150607
estimates,daily20150608
estimates,daily20150609
estimates,daily20150610
estimates,daily20150611
estimates,daily20150612
estimates,daily20150613
estimates,daily20150614
estimates,daily20150615
estimates,daily20150616
estimates,daily20150617
estimates,daily20150618
estimates,daily20150619
estimates,daily20150620
estimates,daily20150621
estimates,daily20150622
estimates,daily20150623
estimates,daily20150624
estimates,daily20150625
estimates,daily20150626
estimates,daily20150627
estimates,daily20150628
estimates,daily20150629
estimates,daily20150630
estimates,daily20150701
estimates,daily20150702
estimates,daily20150703
estimates,daily20150704
estimates,daily20150705
estimates,daily20150706
estimates,daily20150707
estimates,daily20150708
estimates,daily20150709
estimates,daily20150710
estimates,daily20150711
estimates,daily20150712
estimates,daily20150713
estimates,daily20150714
estimates,daily20150715
estimates,daily20150716
estimates,daily20150717
estimates,daily20150718
estimates,daily20150719
estimates,daily20150720
estimates,daily20150721
estimates,daily20150722
estimates,daily20150723
estimates,daily20150724
estimates,daily20150725
estimates,daily20150726
estimates,daily20150727
estimates,daily20150728
estimates,daily20150729
estimates,daily20150730
estimates,daily20150731
estimates,daily20150801
estimates,daily20150802
estimates,daily20150803
estimates,daily20150804
estimates,daily20150805
estimates,daily20150806
estimates,daily20150807
estimates,daily20150808
estimates,daily20150809
estimates,daily20150810
estimates,daily20150811
estimates,daily20150812
estimates,daily20150813
estimates,daily20150814
estimates,daily20150815
estimates,daily20150816
estimates,daily20150817
estimates,daily20150818
estimates,daily20150819
estimates,daily20150820
estimates,daily20150821
estimates,daily20150822
estimates,daily20150823
estimates,daily20150824
estimates,daily20150825
estimates,daily20150826
estimates,daily20150827
estimates,daily20150828
estimates,daily20150829
estimates,daily20150830
estimates,daily20150831
estimates,daily20150901
estimates,daily20150902
estimates,daily20150903
estimates,daily20150904
estimates,daily20150905
estimates,daily20150906
