dataset_id,table_id
estimates_gp,cumulative_downloads
estimates_gp,dailies_by_qtr20140930
estimates_gp,dailies_by_qtr20141231
estimates_gp,dailies_by_qtr20150331
estimates_gp,dailies_by_qtr20150630
estimates_gp,dailies_by_qtr20150930
estimates_gp,dailies_by_qtr20151231
estimates_gp,dailies_by_qtr20160331
estimates_gp,dailies_by_qtr20160630
estimates_gp,dailies_by_qtr20160930
estimates_gp,dailies_by_qtr20161231
estimates_gp,dailies_by_qtr20170331
estimates_gp,dailies_by_qtr20170630
estimates_gp,dailies_by_qtr20170930
estimates_gp,dailies_by_qtr20171231
estimates_gp,dailies_by_qtr20180331
estimates_gp,dailies_by_qtr20180630
estimates_gp,dailies_by_qtr20180930
estimates_gp,dailies_by_qtr20181231
estimates_gp,dailies_by_qtr20190331
estimates_gp,dailies_by_qtr20190630
estimates_gp,dailies_by_qtr20190930
estimates_gp,dailies_by_qtr20191231
estimates_gp,dailies_by_qtr20200331
estimates_gp,dailies_by_qtr20200630
estimates_gp,dailies_by_qtr20200930
estimates_gp,dailies_by_qtr20201231
estimates_gp,dailies_by_qtr20210331
estimates_gp,dailies_by_qtr20210630
estimates_gp,dailies_by_qtr20210930
estimates_gp,dailies_by_qtr20211231
estimates_gp,dailies_by_qtr20220331
estimates_gp,dailies_by_qtr20220630
estimates_gp,dailies_by_qtr20220930
estimates_gp,dailies_by_qtr20221231
estimates_gp,daily20140901
estimates_gp,daily20140902
estimates_gp,daily20140903
estimates_gp,daily20140904
estimates_gp,daily20140905
estimates_gp,daily20140906
estimates_gp,daily20140907
estimates_gp,daily20140908
estimates_gp,daily20140909
estimates_gp,daily20140910
estimates_gp,daily20140911
estimates_gp,daily20140912
estimates_gp,daily20140913
estimates_gp,daily20140914
estimates_gp,daily20140915
estimates_gp,daily20140916
estimates_gp,daily20140917
estimates_gp,daily20140918
estimates_gp,daily20140919
estimates_gp,daily20140920
estimates_gp,daily20140921
estimates_gp,daily20140922
