dataset_id,table_id
features,ratings_gp20211116
features,ratings_gp20211117
features,ratings_gp20211118
features,ratings_gp20211119
features,ratings_gp20211120
features,ratings_gp20211121
features,ratings_gp20211122
features,ratings_gp20211123
features,ratings_gp20211124
features,ratings_gp20211125
features,ratings_gp20211126
features,ratings_gp20211127
features,ratings_gp20211128
features,ratings_gp20211129
features,ratings_gp20211130
features,ratings_gp20211201
features,ratings_gp20211202
features,ratings_gp20211203
features,ratings_gp20211204
features,ratings_gp20211205
features,ratings_gp20211206
features,ratings_gp20211207
features,ratings_gp20211208
features,ratings_gp20211209
features,ratings_gp20211210
features,ratings_gp20211211
features,ratings_gp20211212
features,ratings_gp20211213
features,ratings_gp20211214
features,ratings_gp20211215
features,ratings_gp20211216
features,ratings_gp20211217
features,ratings_gp20211218
features,ratings_gp20211219
features,ratings_gp20211220
features,ratings_gp20211221
features,ratings_gp20211222
features,ratings_gp20211223
features,ratings_gp20211224
features,ratings_gp20211225
features,ratings_gp20211226
features,ratings_gp20211227
features,ratings_gp20211228
features,ratings_gp20211229
features,ratings_gp20211230
features,ratings_gp20211231
features,ratings_gp20220101
features,ratings_gp20220102
features,ratings_gp20220103
features,ratings_gp20220104
features,ratings_gp20220105
features,ratings_gp20220106
features,ratings_gp20220107
features,ratings_gp20220108
features,ratings_gp20220109
features,ratings_gp20220110
features,ratings_gp20220111
features,ratings_gp20220112
features,ratings_gp20220113
features,ratings_gp20220114
features,ratings_gp20220115
features,ratings_gp20220116
features,ratings_gp20220117
features,ratings_gp20220118
features,ratings_gp20220119
features,ratings_gp20220120
features,ratings_gp20220121
features,ratings_gp20220122
features,ratings_gp20220123
features,ratings_gp20220124
features,ratings_gp20220125
features,ratings_gp20220126
features,ratings_gp20220127
features,ratings_gp20220128
features,ratings_gp20220129
features,ratings_gp20220130
features,ratings_gp20220131
features,ratings_gp20220201
features,ratings_gp20220202
features,ratings_gp20220203
features,ratings_gp20220204
features,ratings_gp20220205
features,ratings_gp20220206
features,ratings_gp20220207
features,ratings_gp20220208
features,ratings_gp20220209
features,ratings_gp20220210
features,ratings_gp20220211
features,ratings_gp20220212
features,ratings_gp20220213
