dataset_id,table_id
morepennies,master_table_ios20181116
morepennies,master_table_ios20181117
morepennies,master_table_ios20181118
morepennies,master_table_ios20181119
morepennies,master_table_ios20181120
morepennies,master_table_ios20181121
morepennies,master_table_ios20181122
morepennies,master_table_ios20181123
morepennies,master_table_ios20181124
morepennies,master_table_ios20181125
morepennies,master_table_ios20181126
morepennies,master_table_ios20181127
morepennies,master_table_ios20181128
morepennies,master_table_ios20181129
morepennies,master_table_ios20181130
morepennies,master_table_ios20181201
morepennies,master_table_ios20181202
morepennies,master_table_ios20181203
morepennies,master_table_ios20181204
morepennies,master_table_ios20181205
morepennies,master_table_ios20181206
morepennies,master_table_ios20181207
morepennies,master_table_ios20181208
morepennies,master_table_ios20181209
morepennies,master_table_ios20181210
morepennies,master_table_ios20181211
morepennies,master_table_ios20181212
morepennies,master_table_ios20181213
morepennies,master_table_ios20181214
morepennies,master_table_ios20181215
morepennies,master_table_ios20181216
morepennies,master_table_ios20181217
morepennies,master_table_ios20181218
morepennies,master_table_ios20181219
morepennies,master_table_ios20181220
morepennies,master_table_ios20181221
morepennies,master_table_ios20181222
morepennies,master_table_ios20181223
morepennies,master_table_ios20181224
morepennies,master_table_ios20181225
morepennies,master_table_ios20181226
morepennies,master_table_ios20181227
morepennies,master_table_ios20181228
morepennies,master_table_ios20181229
morepennies,master_table_ios20181230
morepennies,master_table_ios20181231
morepennies,master_table_ios20190101
morepennies,master_table_ios20190102
morepennies,master_table_ios20190103
morepennies,master_table_ios20190104
morepennies,master_table_ios20190105
morepennies,master_table_ios20190106
morepennies,master_table_ios20190107
morepennies,master_table_ios20190108
morepennies,master_table_ios20190109
morepennies,master_table_ios20190110
morepennies,master_table_ios20190111
morepennies,master_table_ios20190112
morepennies,master_table_ios20190113
morepennies,master_table_ios20190114
morepennies,master_table_ios20190115
morepennies,master_table_ios20190116
morepennies,master_table_ios20190117
morepennies,master_table_ios20190118
morepennies,master_table_ios20190119
morepennies,master_table_ios20190120
morepennies,master_table_ios20190121
morepennies,master_table_ios20190122
morepennies,master_table_ios20190123
morepennies,master_table_ios20190124
morepennies,master_table_ios20190125
morepennies,master_table_ios20190126
morepennies,master_table_ios20190127
morepennies,master_table_ios20190128
morepennies,master_table_ios20190129
morepennies,master_table_ios20190130
morepennies,master_table_ios20190131
morepennies,master_table_ios20190201
morepennies,master_table_ios20190202
morepennies,master_table_ios20190203
morepennies,master_table_ios20190204
morepennies,master_table_ios20190205
morepennies,master_table_ios20190206
morepennies,master_table_ios20190207
morepennies,master_table_ios20190208
morepennies,master_table_ios20190209
morepennies,master_table_ios20190210
morepennies,master_table_ios20190211
morepennies,master_table_ios20190212
morepennies,master_table_ios20190213
morepennies,master_table_ios20190214
