dataset_id,table_id
open_layer,keyword_app_snapshot__production_gp_20190820
open_layer,keyword_app_snapshot__production_gp_20190821
open_layer,keyword_app_snapshot__production_gp_20190822
open_layer,keyword_app_snapshot__production_gp_20190823
open_layer,keyword_app_snapshot__production_gp_20190824
open_layer,keyword_app_snapshot__production_gp_20190825
open_layer,keyword_app_snapshot__production_gp_20190827
open_layer,keyword_app_snapshot__production_gp_20190828
open_layer,keyword_app_snapshot__production_gp_20190829
open_layer,keyword_app_snapshot__production_gp_20190830
open_layer,keyword_app_snapshot__production_gp_20190831
open_layer,keyword_app_snapshot__production_gp_20190901
open_layer,keyword_app_snapshot__production_gp_20190902
open_layer,keyword_app_snapshot__production_gp_20190903
open_layer,keyword_app_snapshot__production_gp_20190904
open_layer,keyword_app_snapshot__production_gp_20190905
open_layer,keyword_app_snapshot__production_gp_20190906
open_layer,keyword_app_snapshot__production_gp_20190907
open_layer,keyword_app_snapshot__production_gp_20190908
open_layer,keyword_app_snapshot__production_gp_20190909
open_layer,keyword_app_snapshot__production_gp_20190910
open_layer,keyword_app_snapshot__production_gp_20190911
open_layer,keyword_app_snapshot__production_gp_20190912
open_layer,keyword_app_snapshot__production_gp_20190913
open_layer,keyword_app_snapshot__production_gp_20190914
open_layer,keyword_app_snapshot__production_gp_20190915
open_layer,keyword_app_snapshot__production_gp_20190916
open_layer,keyword_app_snapshot__production_gp_20190917
open_layer,keyword_app_snapshot__production_gp_20190918
open_layer,keyword_app_snapshot__production_gp_20190919
open_layer,keyword_app_snapshot__production_gp_20190920
open_layer,keyword_app_snapshot__production_gp_20190921
open_layer,keyword_app_snapshot__production_gp_20190922
open_layer,keyword_app_snapshot__production_gp_20190923
open_layer,keyword_app_snapshot__production_gp_20190924
open_layer,keyword_app_snapshot__production_gp_20190925
open_layer,keyword_app_snapshot__production_gp_20190926
open_layer,keyword_app_snapshot__production_gp_20190927
open_layer,keyword_app_snapshot__production_gp_20190928
open_layer,keyword_app_snapshot__production_gp_20190929
open_layer,keyword_app_snapshot__production_gp_20190930
open_layer,keyword_app_snapshot__production_gp_20191001
open_layer,keyword_app_snapshot__production_gp_20191002
open_layer,keyword_app_snapshot__production_gp_20191003
open_layer,keyword_app_snapshot__production_gp_20191004
open_layer,keyword_app_snapshot__production_gp_20191005
open_layer,keyword_app_snapshot__production_gp_20191006
open_layer,keyword_app_snapshot__production_gp_20191007
open_layer,keyword_app_snapshot__production_gp_20191008
open_layer,keyword_app_snapshot__production_gp_20191009
open_layer,keyword_app_snapshot__production_gp_20191010
open_layer,keyword_app_snapshot__production_gp_20191011
open_layer,keyword_app_snapshot__production_gp_20191012
open_layer,keyword_app_snapshot__production_gp_20191013
open_layer,keyword_app_snapshot__production_gp_20191014
open_layer,keyword_app_snapshot__production_gp_20191015
open_layer,keyword_app_snapshot__production_gp_20191016
open_layer,keyword_app_snapshot__production_gp_20191017
open_layer,keyword_app_snapshot__production_gp_20191018
open_layer,keyword_app_snapshot__production_gp_20191019
open_layer,keyword_app_snapshot__production_gp_20191020
open_layer,keyword_app_snapshot__production_gp_20191021
open_layer,keyword_app_snapshot__production_gp_20191022
open_layer,keyword_app_snapshot__production_gp_20191023
